StudentID,InMotif_1,InMotif_2,InMotif_3,SelfEff_1,SelfEff_2,SelfEff_3,Teacher_1,Teacher_2,Teacher_3,ExMotif_1,ExMotif_2,ExMotif_3,Gender,NumBook,NumDevice,EdMother,EdFather,Region
1,1.5485,-0.4953,0.0496,1.5526,-0.1197,0.2247,-2.4497,0.3872,0.9558,1.2827,0.1636,-0.4951,2,2,2,2,3,TWN
2,2.3158,-0.3322,-0.5315,0.855,-0.2213,-0.2843,-4.0499,-0.1972,-0.4809,2.9348,1.0759,1.4682,1,1,4,6,3,TWN
3,-2.1967,-0.1474,0.1675,-2.307,-0.568,-0.4871,-0.2201,-1.4699,-0.5808,-2.3919,-0.6361,0.6666,2,4,5,3,2,TWN
4,4.4548,-0.9716,0.2499,1.1728,-0.0565,0.0918,-3.6784,1.4797,1.6513,5.0333,1.3135,1.3738,1,2,5,2,2,TWN
5,0.7225,0.7869,0.1617,1.1664,-0.4662,0.4115,0.0004,1.7486,0.7673,1.3128,1.7957,0.1043,1,1,2,3,3,TWN
6,-0.8121,-0.4813,-0.6447,-1.3987,-0.777,0.1077,-0.923,-1.2402,-0.0977,0.3364,0.8706,-0.2738,2,1,2,3,8,TWN
7,0.9356,0.1825,-0.3618,2.7767,0.6023,0.2925,1.3697,3.5733,-0.2009,4.9979,-0.2403,-0.449,2,2,2,3,2,TWN
8,-0.7408,0.2867,0.1593,0.54,0.7299,0.9723,2.3283,-1.2745,-1.7496,0.591,0.4867,-1.2971,2,2,3,3,3,TWN
9,-0.5799,1.1135,-0.092,-1.0233,-0.9715,-1.0781,-0.6067,0.0618,-0.6132,-2.7063,0.1258,0.2871,2,5,3,7,7,TWN
10,-4.3683,0.5507,-0.1246,-1.6735,0.059,-0.7343,1.7253,0.4566,0.9318,1.0309,0.5776,1.4017,2,5,2,7,7,TWN
11,-1.4172,-0.0057,-0.5493,-1.6588,0.5391,-0.9489,0.0209,-1.1397,0.9255,-0.0274,0.8408,-0.1742,2,2,5,2,2,TWN
12,0.8467,-0.7262,-0.4174,-1.9947,-0.1936,-0.5575,-2.5414,-0.3572,0.3038,-1.4626,-1.1317,-0.99,1,5,4,3,3,TWN
13,1.9487,-1.7969,0.1147,1.8191,-0.2248,0.1614,-2.9776,-0.5183,1.1221,2.9659,0.7939,-0.2562,2,3,5,3,3,TWN
14,-0.7632,0.2964,0.099,-2.626,-0.6174,0.1921,3.0558,-0.042,-0.1061,2.9002,-0.2896,0.002,1,4,3,3,2,TWN
